number,round,group,date,time,team_a,team_b,location
1,1,A,11/6/2021,21:00,Turkey,Italy,"Olimpico, Rome"
2,1,A,12/6/2021,15:00,Wales,Switzerland,"Baki Olimpiya, Baku"
3,1,B,12/6/2021,18:00,Denmark,Finland,"Parken, Copenhagen"
4,1,B,12/6/2021,21:00,Belgium,Russia,"Gazprom Arena, St Petersburg"
5,1,D,13/6/2021,15:00,England,Croatia,"Wembley, London"
6,1,C,13/6/2021,18:00,Austria,North Macedonia,"National Arena, Bucharest"
7,1,C,13/6/2021,21:00,Netherlands,Ukraine,"Johan Cruijff Arena, Amsterdam"
8,1,D,14/6/2021,15:00,Scotland,Czech Republic,"Hampden Park, Glasgow"
9,1,E,14/6/2021,18:00,Poland,Slovakia,"Aviva, Dublin"
10,1,E,14/6/2021,21:00,Spain,Sweden,"Estadio de San Mames, Bilbao"
11,1,F,15/6/2021,18:00,Hungary,Portugal,"Puskas Arena, Budapest"
12,1,F,15/6/2021,21:00,France,Germany,"Allianz Arena, Munich"
13,2,B,16/6/2021,15:00,Finland,Russia,"Gazprom Arena, St Petersburg"
14,2,A,16/6/2021,18:00,Turkey,Wales,"Baki Olimpiya, Baku"
15,2,A,16/6/2021,21:00,Italy,Switzerland,"Olimpico, Rome"
16,2,C,17/6/2021,15:00,Ukraine,North Macedonia,"National Arena, Bucharest"
17,2,B,17/6/2021,18:00,Denmark,Belgium,"Parken, Copenhagen"
18,2,C,17/6/2021,21:00,Netherlands,Austria,"Johan Cruijff Arena, Amsterdam"
19,2,E,18/6/2021,15:00,Sweden,Slovakia,"Aviva, Dublin"
20,2,D,18/6/2021,18:00,Croatia,Czech Republic,"Hampden Park, Glasgow"
21,2,D,18/6/2021,21:00,England,Scotland,"Wembley, London"
22,2,F,19/6/2021,15:00,Hungary,France,"Puskas Arena, Budapest"
23,2,F,19/6/2021,18:00,Portugal,Germany,"Allianz Arena, Munich"
24,2,E,19/6/2021,21:00,Spain,Poland,"Estadio de San Mames, Bilbao"
25,3,A,20/6/2021,18:00,Switzerland,Turkey,"Baki Olimpiya, Baku"
26,3,A,20/6/2021,18:00,Italy,Wales,"Olimpico, Rome"
27,3,C,21/6/2021,18:00,North Macedonia,Netherlands,"Johan Cruijff Arena, Amsterdam"
28,3,C,21/6/2021,18:00,Ukraine,Austria,"National Arena, Bucharest"
29,3,B,21/6/2021,21:00,Russia,Denmark,"Parken, Copenhagen"
30,3,B,21/6/2021,21:00,Finland,Belgium,"Gazprom Arena, St Petersburg"
31,3,D,22/6/2021,21:00,Croatia,Scotland,"Hampden Park, Glasgow"
32,3,D,22/6/2021,21:00,Czech Republic,England,"Wembley, London"
33,3,E,23/6/2021,18:00,Sweden,Poland,"Aviva, Dublin"
34,3,E,23/6/2021,18:00,Slovakia,Spain,"Estadio de San Mames, Bilbao"
35,3,F,23/6/2021,21:00,Portugal,France,"Puskas Arena, Budapest"
36,3,F,23/6/2021,21:00,Germany,Hungary,"Allianz Arena, Munich"
37,Round of 16,,26/6/2021,18:00,Group A Runner Up,Group B Runner Up,"Johan Cruijff Arena, Amsterdam"
38,Round of 16,,26/6/2021,21:00,Group A Winner,Group C Runner Up,"Wembley, London"
39,Round of 16,,27/6/2021,18:00,Group C Winner,Group D/E/F 3rd Place,"Puskas Arena, Budapest"
40,Round of 16,,27/6/2021,21:00,Group B Winner,Group A/D/E/F 3rd Place,"Estadio de San Mames, Bilbao"
41,Round of 16,,28/6/2021,18:00,Group D Runner Up,Group E Runner Up,"Parken, Copenhagen"
42,Round of 16,,28/6/2021,21:00,Group F Winner,Group A/B/C 3rd Place,"National Arena, Bucharest"
43,Round of 16,,29/6/2021,18:00,Group D Winner,Group F Runner Up,"Aviva, Dublin"
44,Round of 16,,29/6/2021,21:00,Group E Winner,Group A/B/C/D 3rd Place,"Hampden Park, Glasgow"
45,Quarter Finals,,2/7/2021,18:00,Match 42 Winner,Match 41 Winner,"Gazprom Arena, St Petersburg"
46,Quarter Finals,,2/7/2021,21:00,Match 40 Winner,Match 38 Winner,"Allianz Arena, Munich"
47,Quarter Finals,,3/7/2021,18:00,Match 39 Winner,Match 37 Winner,"Baki Olimpiya, Baku"
48,Quarter Finals,,3/7/2021,21:00,Match 44 Winner,Match 43 Winner,"Olimpico, Rome"
49,Semi Finals,,6/7/2021,21:00,Match 45 Winner,Match 46 Winner,"Wembley, London"
50,Semi Finals,,7/7/2021,21:00,Match 47 Winner,Match 48 Winner,"Wembley, London"
51,Final,,11/7/2021,21:00,Match 49 Winner,Match 50 Winner,"Wembley, London"
