team,group
Switzerland,a
Italy,a
Wales,a
Turkey,a
Belgium,b
Russia,b
Denmark,b
Finland,b
Netherlands,c
Austria,c
Ukraine,c
North Macedonia,c
England,d
Croatia,d
Czech Republic,d
Scotland,d
Spain,e
Poland,e
Slovakia,e
Sweden,e
Germany,f
Portugal,f
France,f
Hungary,f
Group A Runner Up,place_holder
Group A Winner,place_holder
Group C Winner,place_holder
Group B Winner,place_holder
Group D Runner Up,place_holder
Group F Winner,place_holder
Group D Winner,place_holder
Group E Winner,place_holder
Match 42 Winner,place_holder
Match 40 Winner,place_holder
Match 39 Winner,place_holder
Match 44 Winner,place_holder
Match 45 Winner,place_holder
Match 47 Winner,place_holder
Match 49 Winner,place_holder
Group B Runner Up,place_holder
Group C Runner Up,place_holder
Group D/E/F 3rd Place,place_holder
Group A/D/E/F 3rd Place,place_holder
Group E Runner Up,place_holder
Group A/B/C 3rd Place,place_holder
Group F Runner Up,place_holder
Group A/B/C/D 3rd Place,place_holder
Match 41 Winner,place_holder
Match 38 Winner,place_holder
Match 37 Winner,place_holder
Match 43 Winner,place_holder
Match 46 Winner,place_holder
Match 48 Winner,place_holder
Match 50 Winner,place_holder
